JTT+FC+BU{0.484814}, partition_155 = 82695-83831
JTT+FC+BU{1.225446}, partition_156 = 83832-84421
JTT-DCMUT+FC+BU{0.383821}, partition_157 = 84422-84761
JTT+FC+BU{0.613182}, partition_158 = 84762-85951
JTT-DCMUT+FC+BU{1.367781}, partition_159 = 85952-86278
JTT+FC+BU{1.842693}, partition_160 = 86279-86744
JTT+FC+BU{0.559281}, partition_161 = 86745-87776
JTT+FC+BU{1.119392}, partition_162 = 87777-88131
JTT+FC+BU{0.783250}, partition_163 = 88132-88474
JTT-DCMUT+FC+BU{0.419469}, partition_164 = 88475-88748
JTT+FC+BU{0.746739}, partition_165 = 88749-89163
JTT+FC+BU{0.370669}, partition_166 = 89164-90165
MTZOA+FC+BU{0.350691}, partition_167 = 90166-90460
HIVB+FC+BU{2.173780}, partition_168 = 90461-91127
JTT+FC+BU{0.342882}, partition_169 = 91128-92005
MTZOA+FC+BU{0.307547}, partition_170 = 92006-92217
JTT+FC+BU{1.263784}, partition_171 = 92218-92509
JTT+FC+BU{0.986505}, partition_172 = 92510-93031
JTT+FC+BU{1.008359}, partition_173 = 93032-93327
JTT-DCMUT+FC+BU{0.485374}, partition_174 = 93328-93882
LG+FC+BU{1.100828}, partition_175 = 93883-94165
JTT-DCMUT+BU{1.129516}, partition_176 = 94166-94418
LG+FC+BU{0.988869}, partition_177 = 94419-95209
JTT+FC+BU{1.975679}, partition_178 = 95210-95600
JTT-DCMUT+FC+BU{1.325996}, partition_179 = 95601-95905
MTZOA+FC+BU{0.454331}, partition_180 = 95906-96790
JTT-DCMUT+FC+BU{1.002599}, partition_181 = 96791-97421
JTT+BU{1.671881}, partition_182 = 97422-98223
JTT+FC+BU{0.582871}, partition_183 = 98224-98457
JTT+FC+BU{2.049470}, partition_184 = 98458-99557
FLU+FC+BU{1.035929}, partition_185 = 99558-99883
LG+BU{1.023294}, partition_186 = 99884-100109
JTT+FC+BU{0.331827}, partition_187 = 100110-100560
LG+FC+BU{0.829211}, partition_188 = 100561-101460
LG+FC+BU{0.943649}, partition_189 = 101461-101707
JTT-DCMUT+FC+BU{0.243946}, partition_190 = 101708-102231
MTZOA+FC+BU{0.190819}, partition_191 = 102232-103001
JTT-DCMUT+FC+BU{0.242799}, partition_192 = 103002-103392
JTT+FC+BU{2.144361}, partition_193 = 103393-103614
