JTT+FC+BU{0.195688}, partition_191 = 124791-125406
HIVB+FC+BU{0.437362}, partition_192 = 125407-126207
WAG+FC+BU{0.303758}, partition_193 = 126208-126543
JTT-DCMUT+FC+BU{0.442378}, partition_194 = 126544-127059
JTT+FC+BU{0.383803}, partition_195 = 127060-127597
HIVB+FC+BU{0.527105}, partition_196 = 127598-128620
JTT+FC+BU{0.550675}, partition_197 = 128621-129700
WAG+FC+BU{2.023735}, partition_198 = 129701-130487
JTT+FC+BU{0.453719}, partition_199 = 130488-130986
RTREV+FC+BU{0.131700}, partition_200 = 130987-131148
JTT-DCMUT+FC+BU{0.652691}, partition_201 = 131149-131748
JTT+FC+BU{0.271582}, partition_202 = 131749-132537
JTT+FC+BU{0.373463}, partition_203 = 132538-133113
JTT-DCMUT+FC+BU{0.114385}, partition_204 = 133114-133395
JTT+FC+BU{1.284167}, partition_205 = 133396-133731
LG+FC+BU{1.179407}, partition_206 = 133732-134266
JTT+FC+BU{0.756365}, partition_207 = 134267-135287
JTT-DCMUT+FC+BU{1.279987}, partition_208 = 135288-135767
CPREV+FC+BU{0.588563}, partition_209 = 135768-136174
JTT-DCMUT+FC+BU{0.741822}, partition_210 = 136175-136855
JTT+FC+BU{0.621770}, partition_211 = 136856-137664
MTZOA+FC+BU{0.278914}, partition_212 = 137665-138589
JTT+FC+BU{0.302517}, partition_213 = 138590-138808
JTT+FC+BU{0.247631}, partition_214 = 138809-139727
MTZOA+FC+BU{0.070259}, partition_215 = 139728-140261
JTT+FC+BU{0.907488}, partition_216 = 140262-140577
JTT-DCMUT+FC+BU{1.479549}, partition_217 = 140578-140947
JTT+FC+BU{0.404495}, partition_218 = 140948-141361
JTT+FC+BU{1.176623}, partition_219 = 141362-142119
JTT+FC+BU{2.315275}, partition_220 = 142120-142365
JTT-DCMUT+FC+BU{1.400898}, partition_221 = 142366-143212
HIVB+FC+BU{1.489852}, partition_222 = 143213-143350
JTT+FC+BU{0.626672}, partition_223 = 143351-144209
JTT-DCMUT+FC+BU{0.892284}, partition_224 = 144210-144680
HIVB+FC+BU{0.398076}, partition_225 = 144681-144856
JTT-DCMUT+FC+BU{0.273994}, partition_226 = 144857-145812
HIVB+FC+BU{0.174556}, partition_227 = 145813-146909
JTT+FC+BU{1.098719}, partition_228 = 146910-148220
JTT+FC+BU{0.682746}, partition_229 = 148221-149066
JTT-DCMUT+FC+BU{0.181818}, partition_230 = 149067-149621
JTT+FC+BU{1.029595}, partition_231 = 149622-150130
JTT+FC+BU{0.685519}, partition_232 = 150131-150927
FLU+FC+BU{0.585952}, partition_233 = 150928-151097
FLU+FC+BU{0.823596}, partition_234 = 151098-151169
CPREV+FC+BU{2.283633}, partition_235 = 151170-151375
HIVB+BU{0.542660}, partition_236 = 151376-151480
MTZOA+FC+BU{0.288661}, partition_237 = 151481-151642
JTT+FC+BU{2.195148}, partition_238 = 151643-152332
HIVB+FC+BU{0.487021}, partition_239 = 152333-153242
JTT+FC+BU{0.368275}, partition_240 = 153243-154187
JTT+FC+BU{0.758573}, partition_241 = 154188-155182
HIVB+FC+BU{1.275807}, partition_242 = 155183-157326
JTT+FC+BU{0.724877}, partition_243 = 157327-158248
JTT-DCMUT+FC+BU{0.653175}, partition_244 = 158249-158734
JTT+FC+BU{1.560376}, partition_245 = 158735-159205
JTT+FC+BU{0.974846}, partition_246 = 159206-160346
CPREV+FC+BU{0.805318}, partition_247 = 160347-160609
JTT+FC+BU{0.810188}, partition_248 = 160610-160832
JTT+FC+BU{1.319985}, partition_249 = 160833-161184
JTT+FC+BU{0.557413}, partition_250 = 161185-161869
JTT-DCMUT+FC+BU{0.119068}, partition_251 = 161870-162019
JTT+FC+BU{0.965669}, partition_252 = 162020-162513
JTT+FC+BU{0.229549}, partition_253 = 162514-163058
JTT+FC+BU{0.988424}, partition_254 = 163059-163692
JTT+FC+BU{0.133656}, partition_255 = 163693-164687
JTT+FC+BU{0.862111}, partition_256 = 164688-165420
JTT+FC+BU{0.349957}, partition_257 = 165421-165653
JTT-DCMUT+FC+BU{0.393574}, partition_258 = 165654-166118
JTT+FC+BU{0.056894}, partition_259 = 166119-166530
LG+FC+BU{1.003866}, partition_260 = 166531-167073
MTZOA+FC+BU{0.825407}, partition_261 = 167074-167343
JTT+FC+BU{0.845145}, partition_262 = 167344-167656
JTT+FC+BU{0.203798}, partition_263 = 167657-169082
JTT-DCMUT+FC+BU{0.053858}, partition_264 = 169083-169405
JTT+FC+BU{0.941471}, partition_265 = 169406-170318
HIVB+FC+BU{1.115784}, partition_266 = 170319-171433
HIVB+FC+BU{0.447037}, partition_267 = 171434-171504
JTT-DCMUT+FC+BU{0.424600}, partition_268 = 171505-171766
HIVB+FC+BU{1.318545}, partition_269 = 171767-172471
JTT+FC+BU{0.497664}, partition_270 = 172472-173421
MTZOA+FC+BU{1.002288}, partition_271 = 173422-174057
HIVB+FC+BU{0.179676}, partition_272 = 174058-174616
JTT+FC+BU{0.614017}, partition_273 = 174617-174942
WAG+FC+BU{1.659108}, partition_274 = 174943-176221
JTT+FC+BU{0.440897}, partition_275 = 176222-177451
JTT+FC+BU{1.925229}, partition_276 = 177452-177785
JTT+FC+BU{1.677676}, partition_277 = 177786-178374
MTMAM+FC+BU{0.164483}, partition_278 = 178375-178489
JTT+FC+BU{1.166776}, partition_279 = 178490-179320
JTT+FC+BU{0.596918}, partition_280 = 179321-180151
JTT+FC+BU{0.378757}, partition_281 = 180152-180878
JTT-DCMUT+FC+BU{1.099238}, partition_282 = 180879-181110
JTT+FC+BU{0.595466}, partition_283 = 181111-182017
JTT+FC+BU{1.210051}, partition_284 = 182018-183027
JTT+FC+BU{0.711108}, partition_285 = 183028-183949
JTT+FC+BU{0.448665}, partition_286 = 183950-184897
JTT+FC+BU{3.345332}, partition_287 = 184898-185260
JTT+FC+BU{0.638381}, partition_288 = 185261-185769
JTT+FC+BU{0.714658}, partition_289 = 185770-186073
JTT+FC+BU{1.471577}, partition_290 = 186074-186349
JTT+FC+BU{1.454817}, partition_291 = 186350-186650
JTT+FC+BU{0.469028}, partition_292 = 186651-187432
JTT-DCMUT+FC+BU{1.070488}, partition_293 = 187433-187750
JTT+FC+BU{0.498629}, partition_294 = 187751-188112
JTT-DCMUT+BU{1.174494}, partition_295 = 188113-188251
JTT-DCMUT+FC+BU{0.439880}, partition_296 = 188252-189683
JTT+FC+BU{1.238615}, partition_297 = 189684-190344
JTT+FC+BU{0.377778}, partition_298 = 190345-190451
JTT+FC+BU{0.559448}, partition_299 = 190452-190989
JTT-DCMUT+FC+BU{0.284276}, partition_300 = 190990-191393
JTT+FC+BU{0.349702}, partition_301 = 191394-191914
JTT+FC+BU{1.377611}, partition_302 = 191915-192589
JTT+FC+BU{1.107165}, partition_303 = 192590-193288
JTT+FC+BU{0.556912}, partition_304 = 193289-193543
HIVB+FC+BU{0.396892}, partition_305 = 193544-194208
CPREV+FC+BU{0.486059}, partition_306 = 194209-194487
JTT+FC+BU{0.654739}, partition_307 = 194488-194922
JTT+FC+BU{1.003850}, partition_308 = 194923-195669
HIVB+FC+BU{0.634059}, partition_309 = 195670-196464
JTT+FC+BU{0.507516}, partition_310 = 196465-197342
JTT-DCMUT+FC+BU{1.121261}, partition_311 = 197343-197916
JTT+FC+BU{2.267604}, partition_312 = 197917-198591
WAG+FC+BU{1.201485}, partition_313 = 198592-199017
JTT-DCMUT+FC+BU{0.808752}, partition_314 = 199018-199323
JTT+FC+BU{0.659460}, partition_315 = 199324-200023
JTT+FC+BU{0.719959}, partition_316 = 200024-200884
JTT+FC+BU{0.804564}, partition_317 = 200885-202144
JTT+FC+BU{0.512744}, partition_318 = 202145-202464
CPREV+FC+BU{0.981833}, partition_319 = 202465-202910
HIVB+FC+BU{0.578789}, partition_320 = 202911-203338
JTT-DCMUT+FC+BU{0.819105}, partition_321 = 203339-203834
JTT+FC+BU{0.663387}, partition_322 = 203835-204091
JTT-DCMUT+FC+BU{0.334648}, partition_323 = 204092-204423
HIVB+FC+BU{0.360490}, partition_324 = 204424-205074
JTT+FC+BU{0.886516}, partition_325 = 205075-205862
JTT+FC+BU{0.655085}, partition_326 = 205863-206383
LG+FC+BU{1.742941}, partition_327 = 206384-207135
JTT-DCMUT+FC+BU{1.080885}, partition_328 = 207136-207492
JTT-DCMUT+FC+BU{0.690219}, partition_329 = 207493-208014
JTT+FC+BU{0.257144}, partition_330 = 208015-208770
JTT+FC+BU{0.690799}, partition_331 = 208771-209790
FLU+FC+BU{2.253442}, partition_332 = 209791-212221
JTT+FC+BU{0.997818}, partition_333 = 212222-213278
JTT+FC+BU{1.073583}, partition_334 = 213279-213987
JTT+BU{0.492692}, partition_335 = 213988-214518
JTT+FC+BU{0.311488}, partition_336 = 214519-214914
